Persoon;Komt met # personen;Vestiging;Carrière;Leeftijdsgroep;MC;Ronde 1;Ronde 2;Ronde 3
1;2;Zwolle;Lang;4;43;;;1
2;2;Rotterdam;Lang;3;30;;;1
3;1;Rotterdam;Kort;4;30;;;8
4;2;Zwolle;Lang;3;27;;;3
5;1;Rotterdam;Kort;2;30;;;10
6;2;Rotterdam;Medior;3;30;;;5
7;1;Zwolle;Lang;5;;;;6
8;2;Rotterdam;Kort;2;;;;10
9;1;Zwolle;Medior;3;27;;;5
10;1;Zwolle;Medior;3;27;;;2
11;2;Zwolle;Medior;2;27;;;7
12;2;Zwolle;Lang;4;7;;;1
13;2;Zwolle;Lang;5;43;;;1
14;2;Rotterdam;Medior;3;;;;5
15;2;Rotterdam;Lang;3;21;;;2
16;1;Zwolle;Lang;4;21;;;6
17;1;Zwolle;Kort;2;7;;;9
18;2;Rotterdam;Kort;2;;;;5
19;2;Rotterdam;Medior;6;30;;;8
20;2;Rotterdam;Lang;5;;;;4
21;2;Zwolle;Lang;4;;;;4
22;2;Zwolle;Lang;5;21;;;6
23;2;Zwolle;Medior;3;7;;;3
24;1;Zwolle;Medior;3;27;;;6
25;1;Rotterdam;Medior;4;30;;;6
26;2;Rotterdam;Kort;2;30;;;7
27;2;Zwolle;Lang;4;;;;4
28;1;Zwolle;Medior;4;21;;;2
29;2;Zwolle;Medior;3;7;;;1
30;2;Rotterdam;Lang;3;;;;2
31;2;Zwolle;Kort;2;27;;;10
32;1;Rotterdam;Medior;4;43;;;4
33;1;Rotterdam;Medior;3;30;;;5
34;1;Rotterdam;Kort;6;30;;;8
35;2;Rotterdam;Medior;3;;;;3
36;1;Rotterdam;Kort;2;;;;10
37;2;Zwolle;Lang;4;7;;;3
38;2;Zwolle;Medior;3;7;;;7
39;2;Zwolle;Lang;4;21;;;2
40;2;Zwolle;Medior;6;43;;;8
41;2;Zwolle;Medior;3;27;;;7
42;2;Zwolle;Lang;4;43;;;3
43;2;Zwolle;Lang;5;;;;6
44;2;Zwolle;Kort;4;30;;;8
45;2;Zwolle;Kort;2;7;;;9
46;1;Zwolle;Kort;4;;;;4
47;2;Zwolle;Medior;4;21;;;4
48;2;Zwolle;Lang;4;7;;;2
49;2;Zwolle;Kort;2;27;;;9
50;2;Zwolle;Kort;2;;;;9
51;1;Zwolle;Medior;3;7;;;9
52;2;Rotterdam;Kort;2;;;;10
